,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
143,3,3.0,0.007915567606687546,0.0,0.0,3.7473134994506836
144,4,4.0,0.010554090142250061,0.0,0.0,1.4533016681671143
145,5,5.0,0.013192611746490002,1.0,1.0,0.002793058753013611
146,6,6.0,0.01583113521337509,1.0,1.0,0.002903558313846588
147,7,7.0,0.018469657748937607,1.0,1.0,0.006623499095439911
148,8,8.0,0.021108180284500122,1.0,1.0,0.01700751855969429
149,9,9.0,0.023746700957417488,1.0,1.0,0.01700751855969429
150,10,10.0,0.026385223492980003,1.0,1.0,0.01700751855969429
151,11,11.0,0.02902374602854252,1.0,1.0,0.01700751855969429
152,12,12.0,0.03166227042675018,1.0,1.0,0.01700751855969429
153,13,13.0,0.0343007929623127,1.0,1.0,0.01700751855969429
154,14,14.0,0.036939315497875214,1.0,1.0,0.01700751855969429
155,15,15.0,0.03957783803343773,1.0,1.0,0.01700751855969429
156,16,16.0,0.042216360569000244,1.0,1.0,0.01700751855969429
157,17,17.0,0.04485488310456276,1.0,1.0,0.01700751855969429
158,18,18.0,0.047493401914834976,1.0,1.0,0.01700751855969429
159,19,19.0,0.05013192445039749,1.0,1.0,0.01700751855969429
160,0,0.0,0.0,0.0,0.0,3.398686647415161
161,1,1.0,0.0026525198481976986,0.0,0.0,3.398686647415161
162,2,2.0,0.005305039696395397,0.0,0.0,3.398686647415161
163,3,3.0,0.007957560010254383,0.0,0.0,3.398686647415161
164,4,4.0,0.010610079392790794,0.0,0.0,3.398686647415161
165,5,5.0,0.01326259970664978,0.0,0.0,3.398686647415161
166,6,6.0,0.015915120020508766,0.0,0.0,3.398686647415161
167,7,7.0,0.018567638471722603,0.0,0.0,3.398686647415161
168,8,8.0,0.02122015878558159,0.0,0.0,3.398686647415161
169,9,9.0,0.023872679099440575,0.0,0.0,3.398686647415161
170,10,10.0,0.02652519941329956,0.0,0.0,3.398686647415161
171,11,11.0,0.029177719727158546,0.0,0.0,3.398686647415161
172,12,12.0,0.03183024004101753,0.0,0.0,3.398686647415161
173,13,13.0,0.03448275849223137,0.0,0.0,3.398686647415161
174,14,13.0,0.03448275849223137,0.0,0.0,3.398686647415161
175,15,15.0,0.03978779911994934,0.0,0.0,3.398686647415161
176,16,16.0,0.04244031757116318,0.0,0.0,3.398686647415161
177,17,17.0,0.04509283974766731,0.0,0.0,3.398686647415161
178,18,18.0,0.04774535819888115,0.0,0.0,3.398686647415161
179,19,19.0,0.050397876650094986,0.0,0.0,3.398686647415161
180,0,0.0,0.0,1.0,1.0,0.35854166746139526
181,1,1.0,0.1428571492433548,1.0,1.0,0.0648033618927002
182,2,2.0,0.2857142984867096,0.0,0.0,2.16300106048584
183,3,3.0,0.4285714328289032,0.0,0.0,1.7994076013565063
184,4,4.0,0.5714285969734192,0.0,0.0,0.8593125343322754
185,5,5.0,0.7142857313156128,0.0,0.0,0.8593125343322754
186,6,6.0,0.8571428656578064,1.0,1.0,0.04175370931625366
187,7,7.0,1.0,1.0,1.0,0.0
188,8,7.0,1.0,1.0,1.0,0.0
189,9,7.0,1.0,1.0,1.0,0.0
