,sparsity,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
190,0.5,0.0,0.0,0.0,1.0,-2.60770320892334e-08
191,0.55,0.0,0.0,0.0,1.0,-2.60770320892334e-08
192,0.6000000000000001,0.0,0.0,0.0,1.0,-2.60770320892334e-08
193,0.65,0.0,0.0,0.0,1.0,-2.60770320892334e-08
194,0.7000000000000001,0.0,0.0,0.0,1.0,-2.60770320892334e-08
195,0.75,0.0,0.0,0.0,1.0,-2.60770320892334e-08
196,0.8,0.0,0.0,0.0,1.0,-2.60770320892334e-08
197,0.8500000000000001,0.0,0.0,0.0,1.0,-2.60770320892334e-08
198,0.9,0.0,0.0,0.0,1.0,-2.60770320892334e-08
199,0.9500000000000001,0.0,0.0,0.0,1.0,-2.60770320892334e-08
200,0.0,0.0,0.0,,1.0,1.043081283569336e-07
201,0.05,0.0,0.0,,1.0,1.043081283569336e-07
202,0.1,0.0,0.0,,1.0,1.043081283569336e-07
203,0.15000000000000002,0.0,0.0,,1.0,1.043081283569336e-07
204,0.2,0.0,0.0,,1.0,1.043081283569336e-07
205,0.25,0.0,0.0,,1.0,1.043081283569336e-07
206,0.30000000000000004,0.0,0.0,,1.0,1.043081283569336e-07
207,0.35000000000000003,0.0,0.0,,1.0,1.043081283569336e-07
208,0.4,0.0,0.0,,1.0,1.043081283569336e-07
209,0.45,0.0,0.0,,1.0,1.043081283569336e-07
210,0.5,0.0,0.0,,1.0,1.043081283569336e-07
211,0.55,0.0,0.0,,1.0,1.043081283569336e-07
212,0.6000000000000001,0.0,0.0,,1.0,1.043081283569336e-07
213,0.65,0.0,0.0,,1.0,1.043081283569336e-07
214,0.7000000000000001,0.0,0.0,,1.0,1.043081283569336e-07
215,0.75,0.0,0.0,,1.0,1.043081283569336e-07
216,0.8,0.0,0.0,,1.0,1.043081283569336e-07
217,0.8500000000000001,0.0,0.0,,1.0,1.043081283569336e-07
218,0.9,0.0,0.0,,1.0,1.043081283569336e-07
219,0.9500000000000001,0.0,0.0,,1.0,1.043081283569336e-07
220,0.0,0.0,0.0,0.0,1.0,3.632158041000366e-08
221,0.05,0.0,0.0,0.0,1.0,3.632158041000366e-08
222,0.1,0.0,0.0,0.0,1.0,3.632158041000366e-08
223,0.15000000000000002,0.0,0.0,0.0,1.0,3.632158041000366e-08
224,0.2,0.0,0.0,0.0,1.0,3.632158041000366e-08
225,0.25,0.0,0.0,0.0,1.0,3.632158041000366e-08
226,0.30000000000000004,0.0,0.0,0.0,1.0,3.632158041000366e-08
227,0.35000000000000003,0.0,0.0,0.0,1.0,3.632158041000366e-08
228,0.4,0.0,0.0,0.0,1.0,3.632158041000366e-08
229,0.45,0.0,0.0,0.0,1.0,3.632158041000366e-08
230,0.5,0.0,0.0,0.0,1.0,3.632158041000366e-08
231,0.55,0.0,0.0,0.0,1.0,3.632158041000366e-08
232,0.6000000000000001,0.0,0.0,0.0,1.0,3.632158041000366e-08
233,0.65,0.0,0.0,0.0,1.0,3.632158041000366e-08
234,0.7000000000000001,0.0,0.0,0.0,1.0,3.632158041000366e-08
235,0.75,0.0,0.0,0.0,1.0,3.632158041000366e-08
236,0.8,0.0,0.0,0.0,1.0,3.632158041000366e-08
237,0.8500000000000001,0.0,0.0,0.0,1.0,3.632158041000366e-08
238,0.9,0.0,0.0,0.0,1.0,3.632158041000366e-08
239,0.9500000000000001,0.0,0.0,0.0,1.0,3.632158041000366e-08
240,0.0,0.0,0.0,0.0,1.0,9.685754776000977e-08
241,0.05,0.0,0.0,0.0,1.0,9.685754776000977e-08
242,0.1,0.0,0.0,0.0,1.0,9.685754776000977e-08
243,0.15000000000000002,0.0,0.0,0.0,1.0,9.685754776000977e-08
244,0.2,0.0,0.0,0.0,1.0,9.685754776000977e-08
245,0.25,0.0,0.0,0.0,1.0,9.685754776000977e-08
246,0.30000000000000004,0.0,0.0,0.0,1.0,9.685754776000977e-08
247,0.35000000000000003,0.0,0.0,0.0,1.0,9.685754776000977e-08
248,0.4,0.0,0.0,0.0,1.0,9.685754776000977e-08
249,0.45,0.0,0.0,0.0,1.0,9.685754776000977e-08
250,0.5,0.0,0.0,0.0,1.0,9.685754776000977e-08
251,0.55,0.0,0.0,0.0,1.0,9.685754776000977e-08
252,0.6000000000000001,0.0,0.0,0.0,1.0,9.685754776000977e-08
253,0.65,0.0,0.0,0.0,1.0,9.685754776000977e-08
254,0.7000000000000001,0.0,0.0,0.0,1.0,9.685754776000977e-08
255,0.75,0.0,0.0,0.0,1.0,9.685754776000977e-08
256,0.8,0.0,0.0,0.0,1.0,9.685754776000977e-08
257,0.8500000000000001,0.0,0.0,0.0,1.0,9.685754776000977e-08
258,0.9,0.0,0.0,0.0,1.0,9.685754776000977e-08
259,0.9500000000000001,0.0,0.0,0.0,1.0,9.685754776000977e-08
260,0.0,0.0,0.0,0.0,1.0,1.3504177331924438e-07
261,0.05,0.0,0.0,0.0,1.0,1.3504177331924438e-07
262,0.1,0.0,0.0,0.0,1.0,1.3504177331924438e-07
263,0.15000000000000002,0.0,0.0,0.0,1.0,1.3504177331924438e-07
264,0.2,0.0,0.0,0.0,1.0,1.3504177331924438e-07
265,0.25,0.0,0.0,0.0,1.0,1.3504177331924438e-07
266,0.30000000000000004,0.0,0.0,0.0,1.0,1.3504177331924438e-07
267,0.35000000000000003,0.0,0.0,0.0,1.0,1.3504177331924438e-07
268,0.4,0.0,0.0,0.0,1.0,1.3504177331924438e-07
269,0.45,0.0,0.0,0.0,1.0,1.3504177331924438e-07
270,0.5,0.0,0.0,0.0,1.0,1.3504177331924438e-07
271,0.55,0.0,0.0,0.0,1.0,1.3504177331924438e-07
272,0.6000000000000001,0.0,0.0,0.0,1.0,1.3504177331924438e-07
273,0.65,0.0,0.0,0.0,1.0,1.3504177331924438e-07
274,0.7000000000000001,0.0,0.0,0.0,1.0,1.3504177331924438e-07
275,0.75,0.0,0.0,0.0,1.0,1.3504177331924438e-07
276,0.8,0.0,0.0,0.0,1.0,1.3504177331924438e-07
277,0.8500000000000001,0.0,0.0,0.0,1.0,1.3504177331924438e-07
278,0.9,0.0,0.0,0.0,1.0,1.3504177331924438e-07
279,0.9500000000000001,0.0,0.0,0.0,1.0,1.3504177331924438e-07
280,0.0,0.0,0.0,0.0,1.0,-4.470348358154297e-08
281,0.05,0.0,0.0,0.0,1.0,-4.470348358154297e-08
282,0.1,0.0,0.0,0.0,1.0,-4.470348358154297e-08
283,0.15000000000000002,0.0,0.0,0.0,1.0,-4.470348358154297e-08
284,0.2,0.0,0.0,0.0,1.0,-4.470348358154297e-08
285,0.25,0.0,0.0,0.0,1.0,-4.470348358154297e-08
286,0.30000000000000004,0.0,0.0,0.0,1.0,-4.470348358154297e-08
287,0.35000000000000003,0.0,0.0,0.0,1.0,-4.470348358154297e-08
288,0.4,0.0,0.0,0.0,1.0,-4.470348358154297e-08
289,0.45,0.0,0.0,0.0,1.0,-4.470348358154297e-08
290,0.5,0.0,0.0,0.0,1.0,-4.470348358154297e-08
291,0.55,0.0,0.0,0.0,1.0,-4.470348358154297e-08
292,0.6000000000000001,0.0,0.0,0.0,1.0,-4.470348358154297e-08
293,0.65,0.0,0.0,0.0,1.0,-4.470348358154297e-08
294,0.7000000000000001,0.0,0.0,0.0,1.0,-4.470348358154297e-08
295,0.75,0.0,0.0,0.0,1.0,-4.470348358154297e-08
296,0.8,0.0,0.0,0.0,1.0,-4.470348358154297e-08
297,0.8500000000000001,0.0,0.0,0.0,1.0,-4.470348358154297e-08
298,0.9,0.0,0.0,0.0,1.0,-4.470348358154297e-08
299,0.9500000000000001,0.0,0.0,0.0,1.0,-4.470348358154297e-08
300,0.0,0.0,0.0,,1.0,-7.450580596923828e-09
301,0.05,0.0,0.0,,1.0,-7.450580596923828e-09
302,0.1,0.0,0.0,,1.0,-7.450580596923828e-09
303,0.15000000000000002,0.0,0.0,,1.0,-7.450580596923828e-09
304,0.2,0.0,0.0,,1.0,-7.450580596923828e-09
305,0.25,0.0,0.0,,1.0,-7.450580596923828e-09
306,0.30000000000000004,0.0,0.0,,1.0,-7.450580596923828e-09
307,0.35000000000000003,0.0,0.0,,1.0,-7.450580596923828e-09
