,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
275,15,10.0,1.0,0.0,1.0,-7.450580596923828e-09
276,16,10.0,1.0,0.0,1.0,-7.450580596923828e-09
277,17,10.0,1.0,0.0,1.0,-7.450580596923828e-09
278,18,10.0,1.0,0.0,1.0,-7.450580596923828e-09
279,19,10.0,1.0,0.0,1.0,-7.450580596923828e-09
280,0,0.0,0.0,0.0,0.0,4.039262771606445
281,1,1.0,0.09090909361839294,0.0,0.0,4.199736595153809
282,2,2.0,0.1818181872367859,0.0,0.0,3.6332550048828125
283,3,3.0,0.27272728085517883,0.0,0.0,3.5562000274658203
284,4,4.0,0.3636363744735718,0.0,0.0,3.5135951042175293
285,5,5.0,0.4545454680919647,0.0,0.0,3.3130509853363037
286,6,6.0,0.5454545617103577,1.0,1.0,0.525233268737793
287,7,7.0,0.6363636255264282,1.0,1.0,0.003102608025074005
288,8,8.0,0.7272727489471436,1.0,1.0,1.3399869203567505e-05
289,9,9.0,0.8181818127632141,1.0,1.0,2.0388513803482056e-05
290,10,9.0,0.8181818127632141,1.0,1.0,2.0388513803482056e-05
291,11,11.0,1.0,1.0,1.0,3.725290298461914e-09
292,12,11.0,1.0,1.0,1.0,3.725290298461914e-09
293,13,11.0,1.0,1.0,1.0,3.725290298461914e-09
294,14,11.0,1.0,1.0,1.0,3.725290298461914e-09
295,15,11.0,1.0,1.0,1.0,3.725290298461914e-09
296,16,11.0,1.0,1.0,1.0,3.725290298461914e-09
297,17,11.0,1.0,1.0,1.0,3.725290298461914e-09
298,18,11.0,1.0,1.0,1.0,3.725290298461914e-09
299,19,11.0,1.0,1.0,1.0,3.725290298461914e-09
300,0,0.0,0.0,0.0,0.0,4.221336364746094
301,1,1.0,0.1428571492433548,0.0,0.0,4.385486602783203
302,2,2.0,0.2857142984867096,0.0,0.0,3.8059866428375244
303,3,3.0,0.4285714328289032,0.0,0.0,3.363752603530884
304,4,4.0,0.5714285969734192,0.0,0.0,2.1643314361572266
305,5,5.0,0.7142857313156128,1.0,1.0,0.01491050235927105
306,6,6.0,0.8571428656578064,1.0,1.0,1.4994293451309204e-07
307,7,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
308,8,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
309,9,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
310,10,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
311,11,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
312,12,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
313,13,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
314,14,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
315,15,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
316,16,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
317,17,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
318,18,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
319,19,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
320,0,0.0,0.0,0.0,0.0,4.220928192138672
321,1,0.0,0.0,0.0,0.0,4.220928192138672
322,2,2.0,0.3333333432674408,0.0,0.0,3.8055973052978516
323,3,2.0,0.3333333432674408,0.0,0.0,3.8055973052978516
324,4,4.0,0.6666666865348816,0.0,0.0,2.164020299911499
325,5,4.0,0.6666666865348816,0.0,0.0,2.164020299911499
326,6,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
327,7,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
328,8,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
329,9,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
330,10,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
331,11,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
332,12,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
333,13,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
334,14,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
